"Job","Skills"
"Software Engineer 16","Docker, System Design, REST APIs, Git, Agile, Spring Boot, Java"
"Software Engineer 17","Spring Boot, Java, Agile, REST APIs"
"Data Scientist 21","SQL, Statistics, Python, Deep Learning, Pandas, NLP, Machine Learning"
"Product Manager 19","User Stories, Agile, Product Roadmap"
"Data Analyst 21","Power BI, Data Cleaning, Excel, Reporting, SQL, Tableau"
"Data Scientist 22","Statistics, Python, Pandas, SQL"
"Software Engineer 18","System Design, Java, Agile, Spring Boot, Docker"
"Data Scientist 23","Pandas, SQL, Machine Learning, NLP"
"Data Scientist 24","Deep Learning, Statistics, Python, SQL"
"Data Scientist 25","SQL, Machine Learning, Deep Learning, Python, Pandas, Statistics"
"ML Engineer 17","Computer Vision, MLOps, Python, Cloud, TensorFlow, PyTorch, Keras"
"Software Engineer 19","System Design, Docker, Spring Boot, Git, Java, REST APIs, Agile"
"Software Engineer 20","Java, REST APIs, Spring Boot, Agile, Docker"
"ML Engineer 18","Python, TensorFlow, Cloud"
"ML Engineer 19","MLOps, Computer Vision, TensorFlow, Cloud"
"ML Engineer 20","Cloud, Keras, PyTorch, Python"
"Software Engineer 21","Java, REST APIs, Spring Boot, Git, System Design"
"ML Engineer 21","Cloud, PyTorch, Python"
"Data Analyst 22","Data Cleaning, Reporting, Tableau, SQL, Excel"
"ML Engineer 22","Cloud, TensorFlow, Keras, MLOps, Python"
"ML Engineer 23","PyTorch, Keras, Cloud, TensorFlow"
"Software Engineer 22","Java, Agile, REST APIs, System Design, Git, Docker"
"ML Engineer 24","Python, Cloud, PyTorch, Computer Vision"
"Data Scientist 26","Machine Learning, Statistics, NLP, Deep Learning, Python, SQL"
"ML Engineer 25","Python, Keras, PyTorch, MLOps, TensorFlow, Computer Vision, Cloud"
"Software Engineer 23","System Design, Agile, Spring Boot, Docker"
"Product Manager 20","Stakeholder Management, Agile, Product Roadmap"
"Data Scientist 27","Deep Learning, Machine Learning, Statistics"
"Software Engineer 24","Docker, System Design, Agile"
"ML Engineer 26","PyTorch, Cloud, Keras, Computer Vision"
"Product Manager 21","User Stories, Scrum, Agile, Product Roadmap"
"Data Analyst 23","SQL, Reporting, Tableau, Data Cleaning"
"Software Engineer 25","Docker, System Design, Java, Spring Boot, Agile"
"Data Analyst 24","SQL, Power BI, Excel, Tableau, Reporting, Data Cleaning"
"Data Scientist 28","Deep Learning, SQL, Pandas, Statistics"
"Data Analyst 25","SQL, Reporting, Excel, Power BI, Tableau, Data Cleaning"
"ML Engineer 27","MLOps, PyTorch, Python, Keras, TensorFlow, Cloud"
"ML Engineer 28","MLOps, Cloud, Keras, Python"
"ML Engineer 29","MLOps, PyTorch, Cloud, Computer Vision, Keras, Python, TensorFlow"
"Data Scientist 29","Machine Learning, Pandas, Deep Learning, Python"
"ML Engineer 30","PyTorch, Computer Vision, TensorFlow, MLOps, Cloud"
"Data Analyst 26","Tableau, Reporting, Power BI, SQL, Data Cleaning, Excel"
"Product Manager 22","Product Roadmap, User Stories, Scrum"
"Data Analyst 27","SQL, Reporting, Power BI, Data Cleaning"
"Data Scientist 30","Pandas, Statistics, NLP, Python, Machine Learning, SQL"
"Data Analyst 28","Data Cleaning, Power BI, SQL, Tableau, Excel"
"Software Engineer 26","Java, Git, System Design, Spring Boot, Docker, Agile"
"Product Manager 23","Product Roadmap, Agile, Scrum, User Stories"
"Product Manager 24","Scrum, Product Roadmap, User Stories, Stakeholder Management"
"Data Scientist 31","SQL, NLP, Pandas"
"Product Manager 25","Agile, Stakeholder Management, Product Roadmap, Scrum, User Stories"
"ML Engineer 31","TensorFlow, MLOps, Python, Computer Vision"
"Data Analyst 29","Tableau, Power BI, Excel, SQL, Reporting, Data Cleaning"
"Product Manager 26","User Stories, Stakeholder Management, Scrum"
"Data Analyst 30","Data Cleaning, Reporting, Power BI, Excel, Tableau"
"Data Scientist 32","NLP, Deep Learning, Machine Learning, SQL"
"ML Engineer 32","Cloud, Computer Vision, TensorFlow"
"Data Analyst 31","Power BI, Data Cleaning, Excel, Tableau"
"Data Scientist 33","Python, NLP, Deep Learning, SQL"
"Data Analyst 32","Excel, SQL, Reporting, Power BI, Tableau"
"Software Engineer 27","Agile, Docker, System Design, Spring Boot"
"Data Analyst 33","Tableau, SQL, Data Cleaning, Excel, Reporting, Power BI"
"Data Scientist 34","Machine Learning, Statistics, Python, Pandas"
"Data Scientist 35","Deep Learning, Python, Machine Learning, SQL, Statistics, NLP, Pandas"
"ML Engineer 33","PyTorch, MLOps, Computer Vision"
"Data Scientist 36","Statistics, Machine Learning, NLP"
"Data Analyst 34","Reporting, Excel, Power BI"
"Data Scientist 37","SQL, Deep Learning, Pandas, Python, NLP"
"ML Engineer 34","Keras, Computer Vision, PyTorch, MLOps, Python, TensorFlow, Cloud"
"Data Scientist 38","SQL, Statistics, Python, NLP, Machine Learning, Deep Learning"
"Software Engineer 28","Agile, REST APIs, Git, Spring Boot, Java, System Design"
"Product Manager 27","Product Roadmap, Agile, Stakeholder Management"
"Data Scientist 39","Statistics, Deep Learning, Python, SQL, NLP, Pandas, Machine Learning"
"Product Manager 28","Agile, Scrum, Stakeholder Management"
"Data Analyst 35","Reporting, Power BI, SQL"
"Data Scientist 40","Pandas, Machine Learning, SQL"
"ML Engineer 35","MLOps, TensorFlow, PyTorch, Computer Vision, Keras"
"Product Manager 29","User Stories, Agile, Product Roadmap, Stakeholder Management"
"ML Engineer 36","Computer Vision, PyTorch, MLOps, Cloud, Keras"
"Software Engineer 29","Git, Spring Boot, System Design, Docker"
"Data Analyst 36","Data Cleaning, Tableau, Reporting, Excel, Power BI"
"Product Manager 30","Scrum, Stakeholder Management, Agile"
"ML Engineer 37","Cloud, Keras, MLOps, Python, TensorFlow"
"Data Analyst 37","Data Cleaning, Excel, Tableau, Power BI"
"ML Engineer 38","Python, TensorFlow, Computer Vision, Cloud, PyTorch, Keras, MLOps"
"Product Manager 31","Agile, Product Roadmap, User Stories"
"Data Scientist 41","Machine Learning, SQL, Statistics, Python, NLP, Deep Learning, Pandas"
"Data Scientist 42","Statistics, Pandas, SQL"
"Software Engineer 30","REST APIs, System Design, Agile, Git"
"Software Engineer 31","Java, Git, Docker, Agile, REST APIs, System Design"
"Data Scientist 43","Machine Learning, Pandas, NLP, Deep Learning, SQL"
"Data Analyst 38","Power BI, Reporting, Excel, Tableau"
"Product Manager 32","Scrum, Stakeholder Management, User Stories"
"Data Analyst 39","SQL, Power BI, Data Cleaning, Excel, Tableau, Reporting"
"Product Manager 33","User Stories, Product Roadmap, Agile"
"Software Engineer 32","Java, Spring Boot, Git"
"Software Engineer 33","System Design, Spring Boot, Agile, Git, REST APIs, Java, Docker"
"Software Engineer 34","Agile, Java, Git"
"Data Analyst 40","Excel, Power BI, SQL"
"Product Manager 34","User Stories, Scrum, Product Roadmap"
"Data Analyst 41","Excel, SQL, Reporting"
"Data Scientist 44","NLP, Machine Learning, SQL, Deep Learning"
"Software Engineer 35","Docker, System Design, Spring Boot, Java, Agile"
"Data Analyst 42","Power BI, Tableau, Excel"
"Data Analyst 43","Power BI, SQL, Reporting"
"Data Analyst 44","Excel, Power BI, Reporting, Tableau"
"Data Analyst 45","Reporting, Power BI, Tableau, Excel, SQL, Data Cleaning"
"Product Manager 35","Stakeholder Management, Product Roadmap, User Stories, Scrum, Agile"
"Data Analyst 46","Power BI, Excel, Data Cleaning, Reporting, Tableau"
"Software Engineer 36","System Design, Java, Docker, REST APIs, Spring Boot"
"Data Analyst 47","SQL, Data Cleaning, Reporting, Tableau, Power BI"
"ML Engineer 39","Keras, PyTorch, MLOps"
"Product Manager 36","Stakeholder Management, Product Roadmap, Agile, User Stories, Scrum"
"Data Scientist 45","Machine Learning, Statistics, Pandas, SQL, NLP, Python, Deep Learning"
"Data Scientist 46","Statistics, Deep Learning, SQL, Pandas, NLP, Machine Learning"
"Data Analyst 48","Excel, Tableau, Data Cleaning"
"Data Scientist 47","Statistics, Pandas, SQL, Python, Machine Learning, NLP, Deep Learning"
"Product Manager 37","Agile, Stakeholder Management, Scrum"
"ML Engineer 40","MLOps, Python, TensorFlow"
"ML Engineer 41","MLOps, Computer Vision, Keras, TensorFlow"
"Product Manager 38","Product Roadmap, User Stories, Agile, Scrum"
"Software Engineer 37","Spring Boot, System Design, Agile, Java, Docker"
"Data Scientist 48","NLP, Machine Learning, SQL, Python, Statistics, Deep Learning"
"Software Engineer 38","Agile, Java, System Design, Git, Spring Boot"
"Data Scientist 49","Deep Learning, Python, Machine Learning, NLP"
"Software Engineer 39","Agile, Docker, System Design, Java, Spring Boot, REST APIs"
"Data Scientist 50","Python, Statistics, NLP, Deep Learning, SQL"
"Data Analyst 49","Power BI, SQL, Reporting, Excel, Tableau, Data Cleaning"
"Software Engineer 40","Spring Boot, REST APIs, Docker, Java, Agile"
"Product Manager 39","User Stories, Scrum, Stakeholder Management"
"Software Engineer 41","Agile, REST APIs, Git, Docker"
"Data Scientist 51","NLP, Pandas, SQL, Deep Learning"
"ML Engineer 42","Python, Keras, TensorFlow, Computer Vision"
"Software Engineer 42","Git, REST APIs, Java, Docker, Agile"
"Data Scientist 52","Pandas, NLP, Python"
"Data Scientist 53","SQL, NLP, Pandas, Python, Deep Learning, Statistics, Machine Learning"
"ML Engineer 43","Keras, TensorFlow, Cloud"
"ML Engineer 44","Keras, PyTorch, TensorFlow"
"Data Scientist 54","Statistics, NLP, Deep Learning, Python, Machine Learning, Pandas, SQL"
"Data Scientist 55","NLP, SQL, Statistics"
"ML Engineer 45","TensorFlow, MLOps, PyTorch, Keras, Cloud, Computer Vision, Python"
"Data Analyst 50","Tableau, SQL, Excel, Data Cleaning"
"ML Engineer 46","Computer Vision, TensorFlow, Python, Cloud, MLOps, Keras, PyTorch"
"ML Engineer 47","PyTorch, Keras, Cloud, Computer Vision, Python, TensorFlow"
"Software Engineer 43","REST APIs, Docker, Git, Spring Boot, System Design, Agile, Java"
"ML Engineer 48","TensorFlow, Keras, Python, MLOps"
"Product Manager 40","User Stories, Scrum, Product Roadmap, Stakeholder Management"
"ML Engineer 49","TensorFlow, Cloud, Computer Vision, PyTorch, Python, MLOps, Keras"
"Product Manager 41","Scrum, Stakeholder Management, Product Roadmap, Agile, User Stories"
"Software Engineer 44","Agile, System Design, Spring Boot, Git, REST APIs"
"Product Manager 42","Product Roadmap, Scrum, Agile"
"ML Engineer 50","TensorFlow, Keras, Python, MLOps, PyTorch, Computer Vision, Cloud"
"Software Engineer 45","Spring Boot, Agile, System Design, Docker, REST APIs"
"Product Manager 43","Agile, Stakeholder Management, Product Roadmap"
"Data Analyst 51","Tableau, Power BI, Excel, Reporting"
"Product Manager 44","Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
"Data Scientist 56","Python, Deep Learning, Statistics, SQL"
"Data Analyst 52","Excel, Data Cleaning, Tableau, Reporting, SQL"
"Software Engineer 46","Agile, Spring Boot, Git, Java"
"Data Analyst 53","Excel, SQL, Reporting, Tableau, Data Cleaning"
"Product Manager 45","Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
"ML Engineer 51","TensorFlow, Computer Vision, MLOps, Python, Keras, Cloud"
"Data Analyst 54","Data Cleaning, Power BI, Reporting, Excel, Tableau, SQL"
"Data Analyst 55","Data Cleaning, Excel, Tableau, Reporting"
"Data Scientist 57","Statistics, Deep Learning, Python, Pandas"
"Data Scientist 58","Deep Learning, Python, SQL, NLP, Machine Learning, Pandas, Statistics"
"Data Scientist 59","SQL, Python, Deep Learning, Machine Learning, Statistics, NLP, Pandas"
"Data Scientist 60","Machine Learning, Pandas, Deep Learning"
"Data Analyst 56","Reporting, Power BI, Data Cleaning, SQL"
"Software Engineer 47","Agile, Java, Spring Boot, Docker, Git"
"Data Analyst 57","Data Cleaning, Excel, Reporting, SQL, Tableau"
"Product Manager 46","User Stories, Scrum, Stakeholder Management, Product Roadmap, Agile"
"Product Manager 47","Stakeholder Management, Agile, User Stories, Scrum, Product Roadmap"
"Product Manager 48","Agile, Scrum, Stakeholder Management, Product Roadmap, User Stories"
"Data Scientist 61","Statistics, Deep Learning, NLP, Machine Learning"
"ML Engineer 52","Cloud, Computer Vision, MLOps, Keras, Python"
"Software Engineer 48","Java, System Design, Agile, Spring Boot, Git, Docker"
"ML Engineer 53","Python, Cloud, MLOps, Computer Vision"
"ML Engineer 54","MLOps, PyTorch, Computer Vision, TensorFlow"
"Software Engineer 49","Java, REST APIs, Agile"
"ML Engineer 55","PyTorch, TensorFlow, MLOps, Computer Vision, Keras, Python"
"Data Scientist 62","Statistics, SQL, NLP, Python, Machine Learning, Deep Learning, Pandas"
"Data Analyst 58","Data Cleaning, SQL, Power BI"
"ML Engineer 56","Computer Vision, MLOps, Cloud, TensorFlow"
"Data Analyst 59","Power BI, SQL, Data Cleaning"
"ML Engineer 57","MLOps, Python, TensorFlow, Computer Vision, PyTorch, Cloud, Keras"
"Software Engineer 50","Java, Spring Boot, Git, REST APIs, Agile, Docker"
"Product Manager 49","Scrum, Agile, Stakeholder Management, User Stories"
"Product Manager 50","Scrum, Agile, Stakeholder Management"
"Data Analyst 60","Power BI, Reporting, Excel, SQL, Data Cleaning, Tableau"
"Data Scientist 63","Python, SQL, NLP, Deep Learning"
"Data Scientist 64","Machine Learning, Deep Learning, NLP, Pandas, Python"
"ML Engineer 58","TensorFlow, Python, MLOps, Keras"
"ML Engineer 59","MLOps, TensorFlow, Cloud"
"ML Engineer 60","Keras, Python, PyTorch, TensorFlow"
"Product Manager 51","Scrum, Stakeholder Management, Agile, User Stories, Product Roadmap"
"Data Scientist 65","Machine Learning, Deep Learning, Python, NLP"
"Product Manager 52","Stakeholder Management, User Stories, Scrum, Agile, Product Roadmap"
"Data Analyst 61","Power BI, Tableau, SQL, Excel, Reporting, Data Cleaning"
"Data Analyst 62","Reporting, Tableau, SQL, Data Cleaning"
"ML Engineer 61","MLOps, TensorFlow, Cloud, Python, Keras, Computer Vision"
"ML Engineer 62","Cloud, TensorFlow, Computer Vision, PyTorch, Keras, MLOps, Python"
"Data Analyst 63","Tableau, Power BI, Reporting, Excel, Data Cleaning"
"Software Engineer 51","Spring Boot, REST APIs, Git, Docker, System Design"
"Software Engineer 52","Docker, Agile, REST APIs, Spring Boot"
"Software Engineer 53","Agile, REST APIs, Git, System Design, Java, Docker"
"Data Scientist 66","Python, SQL, Statistics, Pandas, Machine Learning, Deep Learning"
"Software Engineer 54","System Design, Git, Java, Spring Boot, Agile"
"ML Engineer 63","MLOps, TensorFlow, Cloud, Keras"
"Software Engineer 55","System Design, Agile, Docker"
"Data Analyst 64","Excel, Power BI, Tableau, SQL, Reporting, Data Cleaning"
"ML Engineer 64","PyTorch, Python, Computer Vision"
"Data Analyst 65","Data Cleaning, Reporting, Tableau, Power BI, Excel"
"Data Scientist 67","NLP, Pandas, Python, Deep Learning, SQL, Statistics"
"ML Engineer 65","Keras, MLOps, PyTorch"
"Product Manager 53","Scrum, Stakeholder Management, User Stories, Product Roadmap"
"Software Engineer 56","Docker, REST APIs, Git, Spring Boot"
"Data Scientist 68","NLP, SQL, Python, Pandas"
"Data Scientist 69","SQL, NLP, Pandas, Deep Learning, Python"
"Product Manager 54","Scrum, Stakeholder Management, Product Roadmap, Agile"
"ML Engineer 66","Python, PyTorch, Keras, MLOps, TensorFlow"
"ML Engineer 67","Cloud, MLOps, PyTorch, Python, TensorFlow, Computer Vision"
"Data Scientist 70","Deep Learning, SQL, Python, Statistics, Machine Learning, Pandas"
"Software Engineer 57","REST APIs, Git, System Design, Docker, Java, Spring Boot"
"Data Scientist 71","Machine Learning, Python, Pandas, SQL, NLP, Statistics"
"Data Analyst 66","Reporting, Data Cleaning, Excel, SQL, Tableau, Power BI"
"Product Manager 55","User Stories, Product Roadmap, Stakeholder Management, Scrum"
"Data Scientist 72","Statistics, Deep Learning, Pandas, SQL, NLP, Python, Machine Learning"
"Data Scientist 73","Machine Learning, Deep Learning, Pandas, Statistics, NLP, SQL, Python"
"Software Engineer 58","Docker, REST APIs, Agile"
"ML Engineer 68","Cloud, MLOps, TensorFlow, PyTorch, Keras, Python"
"Product Manager 56","Agile, Scrum, User Stories"
"Software Engineer 59","Spring Boot, REST APIs, Git"
"Data Scientist 74","Python, NLP, Pandas"
"Data Analyst 67","Tableau, SQL, Excel, Reporting, Power BI"
"Data Analyst 68","Power BI, Tableau, Reporting, Data Cleaning"
"ML Engineer 69","Keras, MLOps, Computer Vision"
"Data Scientist 75","Machine Learning, Statistics, Python, NLP"
"Data Scientist 76","SQL, Deep Learning, Machine Learning, Python, Statistics"
"Data Scientist 77","NLP, Deep Learning, Statistics, Machine Learning"
"Software Engineer 60","REST APIs, Spring Boot, Docker, Git, Java, System Design"
"ML Engineer 70","Cloud, Python, MLOps, Keras"
"ML Engineer 71","Cloud, PyTorch, Python, Computer Vision, MLOps"
"Data Scientist 78","Deep Learning, Statistics, Pandas"
"Data Scientist 79","SQL, NLP, Statistics, Pandas, Python"
"ML Engineer 72","PyTorch, TensorFlow, Computer Vision, Keras, Python, Cloud"
"Product Manager 57","Agile, Product Roadmap, Scrum"
"Data Analyst 69","Excel, Data Cleaning, Power BI, SQL, Reporting"
"Data Scientist 80","SQL, NLP, Deep Learning, Statistics, Machine Learning, Python, Pandas"
"Data Analyst 70","Excel, Power BI, Tableau"
"ML Engineer 73","Computer Vision, Keras, Cloud, PyTorch, Python, TensorFlow"
"Data Analyst 71","Power BI, Data Cleaning, Reporting, Tableau, Excel"
"Software Engineer 61","Agile, System Design, REST APIs"
"Data Scientist 81","Pandas, Deep Learning, NLP, SQL, Statistics, Python, Machine Learning"
"Software Engineer 62","Git, Spring Boot, Java, Agile, REST APIs, Docker"
"Software Engineer 63","Spring Boot, Java, REST APIs, Git, Docker, System Design, Agile"
"Software Engineer 64","Agile, Java, Git, Docker, REST APIs, System Design"
"Data Analyst 72","Data Cleaning, SQL, Power BI, Tableau, Excel"
"Data Analyst 73","Data Cleaning, Reporting, Power BI, Tableau"
"Software Engineer 65","Docker, REST APIs, Agile, Spring Boot, System Design, Git"
"ML Engineer 74","Keras, Computer Vision, PyTorch, Python, Cloud, TensorFlow, MLOps"
"Data Analyst 74","Tableau, Data Cleaning, Reporting, Power BI, Excel, SQL"
"Product Manager 58","Product Roadmap, Scrum, Stakeholder Management, Agile, User Stories"
"Data Analyst 75","Excel, Tableau, Power BI, Data Cleaning, Reporting"
"Data Scientist 82","Python, Statistics, Machine Learning, SQL, NLP, Pandas, Deep Learning"
"Data Analyst 76","Reporting, Data Cleaning, SQL, Tableau, Power BI"
"Data Analyst 77","Data Cleaning, Reporting, Excel, Tableau, Power BI"
"Product Manager 59","Stakeholder Management, Scrum, Agile, User Stories"
"Software Engineer 66","Docker, Agile, Spring Boot, Java, REST APIs, Git"
"Product Manager 60","Product Roadmap, Scrum, Stakeholder Management"
"Data Analyst 78","Power BI, SQL, Tableau, Reporting"
"ML Engineer 75","MLOps, TensorFlow, PyTorch, Cloud"
"Data Scientist 83","SQL, Statistics, NLP"
"Data Analyst 79","Tableau, Data Cleaning, Power BI, Reporting"
"Data Analyst 80","Excel, Power BI, SQL, Data Cleaning, Tableau, Reporting"
"Software Engineer 67","Agile, Spring Boot, REST APIs, Docker"
"Software Engineer 68","Docker, System Design, Git, REST APIs, Java, Spring Boot"
"Data Scientist 84","Statistics, Deep Learning, SQL, Machine Learning, Pandas, Python"
"ML Engineer 76","Computer Vision, TensorFlow, MLOps, Keras, PyTorch, Python, Cloud"
"Software Engineer 69","Java, Spring Boot, System Design"
"Data Analyst 81","Reporting, Excel, Data Cleaning, Tableau"
"Data Scientist 85","NLP, Deep Learning, Pandas, Python"
"ML Engineer 77","Python, Keras, MLOps"
"ML Engineer 78","MLOps, Keras, Cloud"
"Product Manager 61","Stakeholder Management, User Stories, Scrum, Agile"
"Data Scientist 86","SQL, Machine Learning, Deep Learning, Python, Statistics"
"Data Scientist 87","Pandas, Python, Statistics, NLP, SQL"
"Data Scientist 88","Statistics, Deep Learning, Machine Learning, Pandas, NLP, Python"
"Data Scientist 89","SQL, Pandas, Deep Learning, NLP, Python, Machine Learning, Statistics"
"Data Scientist 90","NLP, Statistics, Pandas"
"Data Analyst 82","Tableau, Power BI, Data Cleaning, SQL, Excel"
"ML Engineer 79","MLOps, TensorFlow, PyTorch, Cloud, Python, Computer Vision"
"Software Engineer 70","Docker, Git, Agile, System Design"
"Data Analyst 83","Reporting, SQL, Power BI, Excel, Data Cleaning, Tableau"
"Data Scientist 91","Python, Pandas, NLP, Deep Learning, SQL"
"Data Scientist 92","SQL, Python, Statistics, NLP, Deep Learning, Machine Learning"
"Software Engineer 71","Git, REST APIs, Java, Agile, Spring Boot, Docker, System Design"
"Data Analyst 84","Power BI, Excel, SQL, Data Cleaning, Tableau"
"Data Analyst 85","Power BI, Tableau, Data Cleaning"
"ML Engineer 80","PyTorch, Computer Vision, Python, Keras, Cloud, MLOps"
"ML Engineer 81","MLOps, PyTorch, Python"
"Software Engineer 72","REST APIs, Spring Boot, Git, Docker, Java, System Design"
"ML Engineer 82","Computer Vision, Cloud, Python, Keras, PyTorch, MLOps, TensorFlow"
"ML Engineer 83","MLOps, Cloud, PyTorch, TensorFlow, Keras"
"Product Manager 62","Scrum, Stakeholder Management, Product Roadmap, User Stories"
"ML Engineer 84","Python, MLOps, PyTorch, Keras, Computer Vision"
"Data Scientist 93","Python, Pandas, NLP, SQL, Machine Learning, Statistics"
"Data Scientist 94","SQL, Python, NLP, Deep Learning, Statistics, Machine Learning, Pandas"
